Time,Source,Dest,Proto,Size,Summary,Payload
14:19:42,246.243.207.203,192.168.1.4,TCP,60,Ether / IP / TCP 246.243.207.203:40571 > 192.168.1.4:http S / Padding,No Payload
14:19:42,69.194.210.231,192.168.1.4,TCP,60,Ether / IP / TCP 69.194.210.231:40576 > 192.168.1.4:http S / Padding,No Payload
14:19:42,73.226.81.221,192.168.1.4,TCP,60,Ether / IP / TCP 73.226.81.221:40577 > 192.168.1.4:http S / Padding,No Payload
14:19:42,105.166.220.57,192.168.1.4,TCP,60,Ether / IP / TCP 105.166.220.57:40591 > 192.168.1.4:http S / Padding,No Payload
14:19:42,243.150.90.92,192.168.1.4,TCP,60,Ether / IP / TCP 243.150.90.92:40592 > 192.168.1.4:http S / Padding,No Payload
14:19:42,246.236.22.56,192.168.1.4,TCP,60,Ether / IP / TCP 246.236.22.56:40593 > 192.168.1.4:http S / Padding,No Payload
14:19:42,87.87.246.142,192.168.1.4,TCP,60,Ether / IP / TCP 87.87.246.142:40594 > 192.168.1.4:http S / Padding,No Payload
14:19:42,157.109.185.22,192.168.1.4,TCP,60,Ether / IP / TCP 157.109.185.22:40596 > 192.168.1.4:http S / Padding,No Payload
14:19:42,105.213.27.203,192.168.1.4,TCP,60,Ether / IP / TCP 105.213.27.203:40599 > 192.168.1.4:http S / Padding,No Payload
14:19:42,191.54.187.70,192.168.1.4,TCP,60,Ether / IP / TCP 191.54.187.70:40601 > 192.168.1.4:http S / Padding,No Payload
14:19:42,70.115.38.37,192.168.1.4,TCP,60,Ether / IP / TCP 70.115.38.37:40604 > 192.168.1.4:http S / Padding,No Payload
14:19:42,23.17.247.223,192.168.1.4,TCP,60,Ether / IP / TCP 23.17.247.223:40607 > 192.168.1.4:http S / Padding,No Payload
14:19:42,161.248.194.105,192.168.1.4,TCP,60,Ether / IP / TCP 161.248.194.105:40612 > 192.168.1.4:http S / Padding,No Payload
14:19:42,11.215.199.168,192.168.1.4,TCP,60,Ether / IP / TCP 11.215.199.168:40614 > 192.168.1.4:http S / Padding,No Payload
14:19:42,85.163.51.146,192.168.1.4,TCP,60,Ether / IP / TCP 85.163.51.146:40616 > 192.168.1.4:http S / Padding,No Payload
14:19:42,121.147.142.60,192.168.1.4,TCP,60,Ether / IP / TCP 121.147.142.60:40620 > 192.168.1.4:http S / Padding,No Payload
14:19:42,189.255.30.232,192.168.1.4,TCP,60,Ether / IP / TCP 189.255.30.232:40622 > 192.168.1.4:http S / Padding,No Payload
14:19:42,27.4.199.58,192.168.1.4,TCP,60,Ether / IP / TCP 27.4.199.58:40624 > 192.168.1.4:http S / Padding,No Payload
14:19:42,204.32.109.161,192.168.1.4,TCP,60,Ether / IP / TCP 204.32.109.161:40626 > 192.168.1.4:http S / Padding,No Payload
14:19:42,247.208.17.27,192.168.1.4,TCP,60,Ether / IP / TCP 247.208.17.27:40627 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,247.208.17.27,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 247.208.17.27:40627 SA,No Payload
14:19:42,87.191.32.246,192.168.1.4,TCP,60,Ether / IP / TCP 87.191.32.246:40628 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,147.56.156.113,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 147.56.156.113:40631 SA,No Payload
14:19:42,11.246.120.118,192.168.1.4,TCP,60,Ether / IP / TCP 11.246.120.118:40634 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,50.58.107.133,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 50.58.107.133:40636 SA,No Payload
14:19:42,91.136.84.27,192.168.1.4,TCP,60,Ether / IP / TCP 91.136.84.27:40637 > 192.168.1.4:http S / Padding,No Payload
14:19:42,6.150.216.110,192.168.1.4,TCP,60,Ether / IP / TCP 6.150.216.110:40638 > 192.168.1.4:http S / Padding,No Payload
14:19:42,1.91.47.155,192.168.1.4,TCP,60,Ether / IP / TCP 1.91.47.155:40639 > 192.168.1.4:http S / Padding,No Payload
14:19:42,59.35.204.51,192.168.1.4,TCP,60,Ether / IP / TCP 59.35.204.51:40640 > 192.168.1.4:http S / Padding,No Payload
14:19:42,56.65.23.191,192.168.1.4,TCP,60,Ether / IP / TCP 56.65.23.191:40641 > 192.168.1.4:http S / Padding,No Payload
14:19:42,244.194.120.105,192.168.1.4,TCP,60,Ether / IP / TCP 244.194.120.105:40642 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,55.105.27.152,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 55.105.27.152:40646 SA,No Payload
14:19:42,38.57.38.243,192.168.1.4,TCP,60,Ether / IP / TCP 38.57.38.243:40662 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,35.33.222.191,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 35.33.222.191:40670 SA,No Payload
14:19:42,22.88.70.46,192.168.1.4,TCP,60,Ether / IP / TCP 22.88.70.46:40681 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,53.166.215.223,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 53.166.215.223:40683 SA,No Payload
14:19:42,38.12.11.84,192.168.1.4,TCP,60,Ether / IP / TCP 38.12.11.84:40688 > 192.168.1.4:http S / Padding,No Payload
14:19:42,158.117.84.155,192.168.1.4,TCP,60,Ether / IP / TCP 158.117.84.155:40690 > 192.168.1.4:http S / Padding,No Payload
14:19:42,91.60.33.53,192.168.1.4,TCP,60,Ether / IP / TCP 91.60.33.53:40694 > 192.168.1.4:http S / Padding,No Payload
14:19:42,191.100.179.54,192.168.1.4,TCP,60,Ether / IP / TCP 191.100.179.54:40695 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,91.60.33.53,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 91.60.33.53:40694 SA,No Payload
14:19:42,195.236.149.109,192.168.1.4,TCP,60,Ether / IP / TCP 195.236.149.109:40706 > 192.168.1.4:http S / Padding,No Payload
14:19:42,127.99.58.147,192.168.1.4,TCP,60,Ether / IP / TCP 127.99.58.147:40708 > 192.168.1.4:http S / Padding,No Payload
14:19:42,166.203.84.196,192.168.1.4,TCP,60,Ether / IP / TCP 166.203.84.196:40713 > 192.168.1.4:http S / Padding,No Payload
14:19:42,216.150.239.140,192.168.1.4,TCP,60,Ether / IP / TCP 216.150.239.140:40715 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,216.150.239.140,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 216.150.239.140:40715 SA,No Payload
14:19:42,85.222.11.230,192.168.1.4,TCP,60,Ether / IP / TCP 85.222.11.230:40716 > 192.168.1.4:http S / Padding,No Payload
14:19:42,11.105.185.155,192.168.1.4,TCP,60,Ether / IP / TCP 11.105.185.155:40717 > 192.168.1.4:http S / Padding,No Payload
14:19:42,100.246.152.230,192.168.1.4,TCP,60,Ether / IP / TCP 100.246.152.230:40728 > 192.168.1.4:http S / Padding,No Payload
14:19:42,60.241.91.60,192.168.1.4,TCP,60,Ether / IP / TCP 60.241.91.60:40732 > 192.168.1.4:http S / Padding,No Payload
14:19:42,46.54.183.13,192.168.1.4,TCP,60,Ether / IP / TCP 46.54.183.13:40734 > 192.168.1.4:http S / Padding,No Payload
14:19:42,123.133.23.100,192.168.1.4,TCP,60,Ether / IP / TCP 123.133.23.100:40736 > 192.168.1.4:http S / Padding,No Payload
14:19:42,91.100.171.113,192.168.1.4,TCP,60,Ether / IP / TCP 91.100.171.113:40739 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,207.109.81.27,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 207.109.81.27:40740 SA,No Payload
14:19:42,137.87.37.46,192.168.1.4,TCP,60,Ether / IP / TCP 137.87.37.46:40743 > 192.168.1.4:http S / Padding,No Payload
14:19:42,247.254.249.58,192.168.1.4,TCP,60,Ether / IP / TCP 247.254.249.58:40745 > 192.168.1.4:http S / Padding,No Payload
14:19:42,171.215.226.11,192.168.1.4,TCP,60,Ether / IP / TCP 171.215.226.11:40747 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,203.107.92.100,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 203.107.92.100:40750 SA,No Payload
14:19:42,84.178.23.194,192.168.1.4,TCP,60,Ether / IP / TCP 84.178.23.194:40753 > 192.168.1.4:http S / Padding,No Payload
14:19:42,105.221.50.152,192.168.1.4,TCP,60,Ether / IP / TCP 105.221.50.152:40755 > 192.168.1.4:http S / Padding,No Payload
14:19:42,239.23.208.210,192.168.1.4,TCP,60,Ether / IP / TCP 239.23.208.210:40757 > 192.168.1.4:http S / Padding,No Payload
14:19:42,88.96.27.229,192.168.1.4,TCP,60,Ether / IP / TCP 88.96.27.229:40760 > 192.168.1.4:http S / Padding,No Payload
14:19:42,109.157.73.107,192.168.1.4,TCP,60,Ether / IP / TCP 109.157.73.107:40761 > 192.168.1.4:http S / Padding,No Payload
14:19:42,118.253.69.133,192.168.1.4,TCP,60,Ether / IP / TCP 118.253.69.133:40763 > 192.168.1.4:http S / Padding,No Payload
14:19:42,128.84.84.149,192.168.1.4,TCP,60,Ether / IP / TCP 128.84.84.149:40765 > 192.168.1.4:http S / Padding,No Payload
14:19:42,35.239.191.118,192.168.1.4,TCP,60,Ether / IP / TCP 35.239.191.118:40766 > 192.168.1.4:http S / Padding,No Payload
14:19:42,124.96.11.11,192.168.1.4,TCP,60,Ether / IP / TCP 124.96.11.11:40768 > 192.168.1.4:http S / Padding,No Payload
14:19:42,11.239.220.135,192.168.1.4,TCP,60,Ether / IP / TCP 11.239.220.135:40769 > 192.168.1.4:http S / Padding,No Payload
14:19:42,87.43.240.148,192.168.1.4,TCP,60,Ether / IP / TCP 87.43.240.148:40770 > 192.168.1.4:http S / Padding,No Payload
14:19:42,210.230.192.105,192.168.1.4,TCP,60,Ether / IP / TCP 210.230.192.105:40772 > 192.168.1.4:http S / Padding,No Payload
14:19:42,105.113.221.67,192.168.1.4,TCP,60,Ether / IP / TCP 105.113.221.67:40773 > 192.168.1.4:http S / Padding,No Payload
14:19:42,241.54.226.168,192.168.1.4,TCP,60,Ether / IP / TCP 241.54.226.168:40775 > 192.168.1.4:http S / Padding,No Payload
14:19:42,241.168.94.241,192.168.1.4,TCP,60,Ether / IP / TCP 241.168.94.241:40776 > 192.168.1.4:http S / Padding,No Payload
14:19:42,183.43.54.11,192.168.1.4,TCP,60,Ether / IP / TCP 183.43.54.11:40777 > 192.168.1.4:http S / Padding,No Payload
14:19:42,32.84.37.68,192.168.1.4,TCP,60,Ether / IP / TCP 32.84.37.68:40778 > 192.168.1.4:http S / Padding,No Payload
14:19:42,113.35.85.58,192.168.1.4,TCP,60,Ether / IP / TCP 113.35.85.58:40782 > 192.168.1.4:http S / Padding,No Payload
14:19:42,100.215.109.192,192.168.1.4,TCP,60,Ether / IP / TCP 100.215.109.192:40784 > 192.168.1.4:http S / Padding,No Payload
14:19:42,253.213.222.191,192.168.1.4,TCP,60,Ether / IP / TCP 253.213.222.191:40788 > 192.168.1.4:http S / Padding,No Payload
14:19:42,87.231.128.233,192.168.1.4,TCP,60,Ether / IP / TCP 87.231.128.233:40792 > 192.168.1.4:http S / Padding,No Payload
14:19:42,11.147.113.22,192.168.1.4,TCP,60,Ether / IP / TCP 11.147.113.22:40796 > 192.168.1.4:http S / Padding,No Payload
14:19:42,19.255.37.158,192.168.1.4,TCP,60,Ether / IP / TCP 19.255.37.158:40798 > 192.168.1.4:http S / Padding,No Payload
14:19:42,240.163.133.68,192.168.1.4,TCP,60,Ether / IP / TCP 240.163.133.68:40802 > 192.168.1.4:http S / Padding,No Payload
14:19:42,107.195.84.163,192.168.1.4,TCP,60,Ether / IP / TCP 107.195.84.163:40804 > 192.168.1.4:http S / Padding,No Payload
14:19:42,11.53.175.232,192.168.1.4,TCP,60,Ether / IP / TCP 11.53.175.232:40807 > 192.168.1.4:http S / Padding,No Payload
14:19:42,189.38.231.180,192.168.1.4,TCP,60,Ether / IP / TCP 189.38.231.180:40811 > 192.168.1.4:http S / Padding,No Payload
14:19:42,191.37.150.99,192.168.1.4,TCP,60,Ether / IP / TCP 191.37.150.99:40813 > 192.168.1.4:http S / Padding,No Payload
14:19:42,210.183.253.3,192.168.1.4,TCP,60,Ether / IP / TCP 210.183.253.3:40816 > 192.168.1.4:http S / Padding,No Payload
14:19:42,220.222.191.122,192.168.1.4,TCP,60,Ether / IP / TCP 220.222.191.122:40826 > 192.168.1.4:http S / Padding,No Payload
14:19:42,236.222.38.54,192.168.1.4,TCP,60,Ether / IP / TCP 236.222.38.54:40827 > 192.168.1.4:http S / Padding,No Payload
14:19:42,183.107.8.152,192.168.1.4,TCP,60,Ether / IP / TCP 183.107.8.152:40828 > 192.168.1.4:http S / Padding,No Payload
14:19:42,17.150.122.204,192.168.1.4,TCP,60,Ether / IP / TCP 17.150.122.204:40850 > 192.168.1.4:http S / Padding,No Payload
14:19:42,239.183.171.133,192.168.1.4,TCP,60,Ether / IP / TCP 239.183.171.133:40882 > 192.168.1.4:http S / Padding,No Payload
14:19:42,192.168.1.4,166.171.206.17,OTHER,58,Ether / IP / TCP 192.168.1.4:http > 166.171.206.17:40918 SA,No Payload
14:19:42,191.81.100.157,192.168.1.4,TCP,60,Ether / IP / TCP 191.81.100.157:40943 > 192.168.1.4:http S / Padding,No Payload
14:19:42,81.118.199.178,192.168.1.4,TCP,60,Ether / IP / TCP 81.118.199.178:40949 > 192.168.1.4:http S / Padding,No Payload
14:19:42,51.220.70.247,192.168.1.4,TCP,60,Ether / IP / TCP 51.220.70.247:40952 > 192.168.1.4:http S / Padding,No Payload
14:19:42,158.253.65.8,192.168.1.4,TCP,60,Ether / IP / TCP 158.253.65.8:40954 > 192.168.1.4:http S / Padding,No Payload
